시군구명,시도명,관광지명,Unnamed: 3,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수,맛집정보
강서구,서울특별시,서울식물원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=309a0548-b732-4f85-8c2f-e45971f30df2,자연,자연관광지,수목원,5964,"[('곱창이야기 마곡본점', '곱창,막창,양'), ('지피다 마곡나루', '육류,고기요리'), ('보스 간장게장 서울식물원점', '게요리'), ('서울식물원식당 경복궁', '한식'), ('커피에꽃을담다 서울식물원점', '카페,디저트'), ('카페코레우리 서울식물원점', '카페,디저트'), ('스테프핫도그 서울식물원점', '핫도그'), ('멘무샤 서울식물원마곡나루역점', '일본식라면')]"
강서구,서울특별시,강서농산물도매시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=56d81bd3-606a-473b-801c-faf2b0c2b55b,쇼핑,쇼핑,상설시장,1682,"[('오유미당 마곡점', '돈가스'), ('상구네돼지구이 마곡점', '육류,고기요리'), ('청북경오리', '중식당'), ('우대포 마곡점', '육류,고기요리'), ('옥소반 마곡본점', '샤브샤브'), ('홍박식당', '육류,고기요리')]"
강서구,서울특별시,양천향교,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ff9079dc-2ac1-4ab4-a918-391bc16054a0,인문(문화/예술/역사),역사관광지,유적지/사적지,1453,"[('곱창이야기 마곡본점', '곱창,막창,양'), ('지피다 마곡나루', '육류,고기요리'), ('신세대맥주 마곡나루점', '맥주,호프'), ('야키니쿠 진범 본점', '육류,고기요리'), ('오유미당 마곡점', '돈가스'), ('이가네 양갈비 양꼬치 마곡나루점', '양꼬치'), ('우아하계', '닭갈비'), ('청북경오리', '중식당')]"
강서구,서울특별시,스페이스K,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d22869c1-106e-462f-a5b1-dcda30567eab,인문(문화/예술/역사),문화시설,전시관,1235,"[('PFS MOF 플래그쉽 스페이스', '카페,디저트')]"
강서구,서울특별시,허준박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8b13a231-ed96-475c-8e68-5fe4a92078d9,인문(문화/예술/역사),문화시설,박물관,702,"[('미래회관 마곡점', '육류,고기요리'), ('곱창이야기 마곡본점', '곱창,막창,양'), ('야키니쿠 진범 본점', '육류,고기요리'), ('감성9091돼지', '돼지고기구이'), ('오유미당 마곡점', '돈가스'), ('옥된장 양천로점', '한식'), ('청북경오리', '중식당'), ('덕본계 마곡본점', '오리요리')]"
강서구,서울특별시,방신재래시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=316d4085-dd4b-4a16-bb95-4bbbdf4251a0,쇼핑,쇼핑,상설시장,596,"[('방화동쭈꾸미마을1997', '주꾸미요리'), ('꾸이꾸이 돼지촌 쭈꾸미 본점', '주꾸미요리'), ('원조나주곰탕', '곰탕,설렁탕'), ('엄지척 떡볶이 꼬마김밥', '종합분식'), ('남다른감자탕 서울방화점', '감자탕'), ('장수촌왕솥뚜껑삼겹살', '육류,고기요리')]"
강서구,서울특별시,화곡본동시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=abe1ba33-4f0d-4e3e-9ff9-4f2db110c063,쇼핑,쇼핑,상설시장,194,"[('곱창이야기 마곡본점', '곱창,막창,양'), ('고기원칙 강서구청점', '고기원칙'), ('화곡영양족발', '족발,보쌈'), ('추천해꼬막짬뽕', '중식당'), ('원조동글갈비', '육류,고기요리'), ('조선제일빵', '베이커리'), ('정육식당 한우포차', '정육식당'), ('묵자식당', '덮밥')]"
강서구,서울특별시,송화벽화시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0e0a78e8-8832-4e86-82d4-4fa7cea39250,쇼핑,쇼핑,상설시장,162,"[('촌놈떡갈비 송화벽화시장점', '육류,고기요리')]"
강서구,서울특별시,롯데몰 김포공항,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=97e2a57f-f8d5-43ea-b6dc-cbbe07a94585,쇼핑,쇼핑,전문매장/상가,114,"[('떡블랑', '케이크전문'), ('봄담아', '샤브샤브'), ('딘타이펑 롯데몰김포공항점', '중식당'), ('피코리코 롯데몰 김포공항점', '카페,디저트'), ('연남토마 롯데몰 김포공항점', '퓨전음식'), ('갓덴스시 롯데몰 김포공항점', '초밥,롤'), ('노티드 롯데몰 김포공항점', '카페'), ('명동가츠라 롯데몰김포공항점', '일식당')]"
강서구,서울특별시,방화대교,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=09b8a8dd-c2b9-4bd2-9eaf-02b0138e6a07,인문(문화/예술/역사),건축/조형물,다리/대교,112,"[('아이맛이야장작철판구이 본점', '육류,고기요리'), ('행주산성 원조국수집', '국수'), ('행주산성 선유재', '한식'), ('행주만리', '한식'), ('카페 텐나인', '카페,디저트'), ('더츠커피팩토리', '카페')]"
